run_count,Left Power,Right Power,L Current,R Current,L Voltage,R Voltage,L Speed,R Speed
58,0.1,0.25,-0.21,1.94,0.750733137829912,2.55043988269795,0.386353467561521,-0.894407158836689
59,-0.1,-0.25,-0.38,2.17,-0.747605083088954,-2.5286412512219,-0.447874720357942,0.879642058165548
60,0.1,0.3,-0.2,2.42,0.735092864125122,3.0891495601173,0.371140939597315,-1.11051454138702
61,-0.1,-0.3,-0.42,2.95,-0.728836754643206,-3.04868035190616,-0.443847874720358,1.07404921700224
62,0.1,0.35,-0.26,3.05,0.725708699902248,3.65620723362659,0.4165548098434,-1.33288590604027
63,-0.1,-0.35,-0.48,3.69,-0.710068426197459,-3.55913978494624,-0.444742729306488,1.27225950782998
64,0.1,0.4,0.04,3.45,0.713196480938416,4.14780058651026,0.2917225950783,-1.54854586129754
65,-0.1,-0.4,-0.56,4.18,-0.710068426197459,-4.12903225806452,-0.453914988814318,1.51297539149888
66,0.1,0.45,-0.19,5.22,0.700684261974585,4.63484848484849,0.361968680089486,-1.69261744966443
67,-0.1,-0.45,-0.44,4.73,-0.703812316715543,-4.67756598240469,-0.433109619686801,1.73422818791946
68,0.1,0.5,0.26,5.48,0.706940371456501,5.24486803519062,0.202013422818792,-1.96062639821029
69,-0.1,-0.5,-0.2,5.25,-0.697556207233627,-5.17302052785924,-0.357718120805369,1.934451901566
70,0.1,0.55,0.06,6.87,0.697556207233627,5.73255131964809,0.278076062639821,-2.11610738255034
71,-0.1,-0.55,-0.16,6.58,-0.700684261974585,-5.75909090909091,-0.330648769574944,2.13557046979866
72,0.15,0,1.52,0,1.3266862170088,0,0.37158836689038,-0.067561521252797
73,-0.15,0,1.58,0,-1.30381231671554,0,-0.367337807606264,0.076957494407159
74,0.15,0.05,0.74,-0.02,1.34956011730205,0.131720430107527,0.446085011185682,-0.152796420581655
75,-0.15,-0.05,1.27,-0.08,-1.3266862170088,-0.131182795698925,-0.395749440715884,0.202460850111857
76,0.15,0.1,0.79,-0.15,1.35527859237537,0.766373411534702,0.44407158836689,-0.356152125279642
